epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1994.47,0.91738,1.65991,0.67384,1.14239,0,0.80031,0.82378,0.82781,0.63636,0.72917,0.7494,0.73021,0.37029,1.10064,1.69976,0.73585,1.24724,0,0.000738354,0.000738354,0.000738354
29,2053.44,0.9465,1.73935,0.69776,1.1628,0,0.7789,0.8198,0.82878,0.62327,0.7307,0.76255,0.75225,0.37322,1.09584,1.76091,0.75263,1.27013,0,0.000733837,0.000733837,0.000733837
30,2108.46,0.86066,1.56067,0.6475,1.11342,0,0.78419,0.8217,0.82209,0.63111,0.72323,0.74741,0.72737,0.36813,1.10057,1.75532,0.74546,1.25803,0,0.000729175,0.000729175,0.000729175
31,2163.27,0.90503,1.65402,0.66671,1.13377,0,0.77087,0.79879,0.81467,0.6263,0.73473,0.73412,0.74239,0.36527,1.10159,1.76734,0.75757,1.22861,0,0.000724371,0.000724371,0.000724371
32,2218.73,0.87829,1.58868,0.62652,1.11924,0,0.81012,0.81795,0.83653,0.64055,0.75873,0.76309,0.76024,0.37477,1.09927,1.69275,0.73299,1.24493,0,0.000719426,0.000719426,0.000719426
33,2275.45,0.88149,1.61699,0.64199,1.12181,0,0.79296,0.81123,0.82114,0.62925,0.75419,0.73199,0.73254,0.35868,1.10012,1.74882,0.74037,1.25036,0,0.000714343,0.000714343,0.000714343
34,2332.63,0.91091,1.60666,0.64519,1.12807,0,0.78473,0.82355,0.8371,0.64128,0.74524,0.76127,0.76053,0.37585,1.0742,1.68266,0.78421,1.23693,0,0.000709123,0.000709123,0.000709123
35,2388.81,0.93558,1.58276,0.6692,1.14313,0,0.79929,0.81356,0.83213,0.62921,0.76346,0.76506,0.76288,0.37932,1.08939,1.67621,0.72608,1.24419,0,0.00070377,0.00070377,0.00070377
36,2444.06,0.89997,1.54089,0.65288,1.13116,0,0.82686,0.8079,0.83539,0.63634,0.77905,0.74957,0.76068,0.39368,1.08154,1.68757,0.7181,1.23523,0,0.000698285,0.000698285,0.000698285
37,2500.94,0.86496,1.54505,0.61261,1.10218,0,0.8376,0.81535,0.82942,0.64022,0.80694,0.77171,0.76074,0.38798,1.07436,1.65425,0.71913,1.25137,0,0.000692672,0.000692672,0.000692672
38,2555.18,0.84114,1.50765,0.603,1.11199,0,0.83289,0.81145,0.83306,0.64959,0.78977,0.75436,0.74884,0.37424,1.07303,1.67651,0.72218,1.23684,0,0.000686931,0.000686931,0.000686931
39,2612.53,0.90321,1.51811,0.61601,1.11917,0,0.79586,0.83487,0.82946,0.6434,0.74883,0.77225,0.76001,0.3765,1.08125,1.63955,0.71553,1.24402,0,0.000681067,0.000681067,0.000681067
40,2668.98,0.83911,1.49146,0.60889,1.09906,0,0.85105,0.81466,0.84424,0.65183,0.82085,0.77969,0.79254,0.40243,1.06629,1.59769,0.67589,1.2339,0,0.000675081,0.000675081,0.000675081
41,2724.74,0.83206,1.49281,0.59215,1.10174,0,0.80867,0.8137,0.83277,0.6424,0.77896,0.77857,0.78239,0.39789,1.07472,1.69132,0.7132,1.22668,0,0.000668976,0.000668976,0.000668976
42,2781.57,0.88739,1.50417,0.59495,1.12757,0,0.84296,0.82355,0.8428,0.65153,0.80898,0.77913,0.78976,0.40909,1.0797,1.65036,0.70415,1.23344,0,0.000662755,0.000662755,0.000662755
43,2837.32,0.87074,1.5116,0.61045,1.11597,0,0.82865,0.82289,0.83946,0.64471,0.79104,0.77803,0.78646,0.39285,1.06677,1.67334,0.70364,1.23351,0,0.00065642,0.00065642,0.00065642
44,2894.27,0.85068,1.50044,0.60153,1.1039,0,0.82325,0.82917,0.83673,0.65143,0.79587,0.79571,0.78809,0.39708,1.05628,1.64278,0.68824,1.22601,0,0.000649975,0.000649975,0.000649975
45,2949.18,0.86006,1.51159,0.57375,1.10357,0,0.82517,0.82898,0.83411,0.65117,0.78719,0.7875,0.78266,0.4041,1.07126,1.66907,0.68581,1.24002,0,0.000643421,0.000643421,0.000643421
46,3005.21,0.80399,1.40953,0.56015,1.06708,0,0.83296,0.84095,0.83755,0.65049,0.78835,0.78867,0.77098,0.3988,1.0661,1.69412,0.69058,1.23166,0,0.000636763,0.000636763,0.000636763
47,3061.95,0.83698,1.42091,0.56647,1.09256,0,0.82494,0.81869,0.83198,0.65256,0.79852,0.78693,0.78574,0.40442,1.06574,1.62013,0.70522,1.23752,0,0.000630003,0.000630003,0.000630003
48,3122.21,0.88105,1.48329,0.59476,1.1112,0,0.8262,0.82843,0.83983,0.64564,0.79264,0.78591,0.78643,0.39802,1.08258,1.64168,0.69928,1.243,0,0.000623143,0.000623143,0.000623143
49,3179.21,0.80233,1.40883,0.55714,1.07832,0,0.80474,0.83718,0.84227,0.65535,0.76445,0.79371,0.78052,0.40431,1.06394,1.60708,0.69119,1.22665,0,0.000616187,0.000616187,0.000616187
50,3237.54,0.81854,1.40623,0.55085,1.08146,0,0.82878,0.83704,0.8405,0.66201,0.79542,0.8038,0.78995,0.41026,1.04196,1.59759,0.67247,1.21087,0,0.000609139,0.000609139,0.000609139
51,3292.96,0.83455,1.45785,0.55447,1.08076,0,0.83259,0.83758,0.84161,0.6576,0.80334,0.80615,0.79278,0.39945,1.06628,1.59326,0.67792,1.22502,0,0.000602,0.000602,0.000602
52,3347.59,0.79451,1.38104,0.52668,1.06732,0,0.82268,0.83868,0.84442,0.66357,0.78879,0.80119,0.78552,0.40781,1.05058,1.65109,0.68263,1.22464,0,0.000594774,0.000594774,0.000594774
53,3403.32,0.82483,1.4097,0.54007,1.08427,0,0.82059,0.84645,0.84398,0.66839,0.79027,0.79987,0.78402,0.40375,1.06367,1.65656,0.67828,1.21676,0,0.000587465,0.000587465,0.000587465
54,3460.01,0.77998,1.34555,0.52782,1.07088,0,0.84791,0.82744,0.84386,0.66019,0.84198,0.80564,0.80306,0.42216,1.06443,1.64856,0.67417,1.22756,0,0.000580076,0.000580076,0.000580076
55,3518.2,0.79891,1.41546,0.5317,1.07647,0,0.83216,0.83528,0.84787,0.6689,0.81139,0.7922,0.79913,0.41576,1.05837,1.60415,0.68933,1.22156,0,0.000572609,0.000572609,0.000572609
56,3576.32,0.79106,1.37152,0.53041,1.07221,0,0.8472,0.84233,0.85104,0.67389,0.81555,0.80248,0.79709,0.41932,1.04516,1.59687,0.65835,1.22771,0,0.000565068,0.000565068,0.000565068
57,3633.72,0.76811,1.33868,0.51379,1.05382,0,0.84112,0.8579,0.85166,0.67368,0.80743,0.81903,0.79958,0.41319,1.05743,1.63925,0.65803,1.22423,0,0.000557456,0.000557456,0.000557456
58,3690.85,0.82472,1.37315,0.51895,1.07597,0,0.8336,0.84049,0.8474,0.6653,0.80789,0.80892,0.79775,0.42007,1.06578,1.6535,0.6684,1.22985,0,0.000549777,0.000549777,0.000549777
59,3746.22,0.81046,1.34144,0.52728,1.07147,0,0.81407,0.85872,0.84412,0.67032,0.78966,0.81759,0.79459,0.4143,1.04867,1.61038,0.67044,1.21094,0,0.000542035,0.000542035,0.000542035
60,3804.33,0.80769,1.34967,0.51414,1.06258,0,0.82504,0.84833,0.8437,0.66362,0.81653,0.81354,0.80143,0.4097,1.06671,1.63246,0.66894,1.21984,0,0.000534231,0.000534231,0.000534231
61,3860.64,0.75919,1.29198,0.49613,1.04565,0,0.82824,0.84991,0.85109,0.67839,0.80974,0.79748,0.79596,0.41476,1.05406,1.61873,0.66474,1.22008,0,0.000526371,0.000526371,0.000526371
62,3916.87,0.77817,1.31767,0.49738,1.0577,0,0.82003,0.83581,0.83698,0.66117,0.77963,0.79829,0.78001,0.40735,1.06955,1.61841,0.68876,1.2374,0,0.000518457,0.000518457,0.000518457
63,3970.58,0.73404,1.28696,0.47386,1.03242,0,0.84454,0.82247,0.8442,0.66876,0.83034,0.77499,0.78661,0.41056,1.06132,1.62677,0.65621,1.24111,0,0.000510492,0.000510492,0.000510492
64,4025.22,0.77515,1.32107,0.49877,1.06045,0,0.86461,0.8355,0.85671,0.67961,0.83555,0.80634,0.81006,0.42092,1.05818,1.6308,0.6648,1.2263,0,0.000502481,0.000502481,0.000502481
65,4081.9,0.79934,1.33521,0.50941,1.05987,0,0.83486,0.8353,0.8457,0.66635,0.80237,0.79524,0.78445,0.40313,1.04631,1.61692,0.65465,1.21318,0,0.000494427,0.000494427,0.000494427
66,4139.1,0.77797,1.30999,0.48913,1.04624,0,0.84621,0.8312,0.84124,0.67185,0.81695,0.79072,0.78728,0.4188,1.06298,1.63388,0.68495,1.2202,0,0.000486333,0.000486333,0.000486333
