epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
122,7286.64,0.5807,0.9651,0.3307,0.94855,0,0.83439,0.85777,0.84313,0.67841,0.81714,0.81257,0.79484,0.43472,1.08717,1.71114,0.64326,1.27622,0,7.88249e-05,7.88249e-05,7.88249e-05
123,7339.76,0.61617,1.0076,0.34186,0.95694,0,0.84069,0.85286,0.84474,0.67629,0.83417,0.79355,0.79198,0.43592,1.09479,1.77272,0.6649,1.27992,0,7.41632e-05,7.41632e-05,7.41632e-05
124,7394.34,0.6137,1.00678,0.33871,0.95475,0,0.84606,0.84497,0.84321,0.67754,0.82672,0.80789,0.7995,0.43159,1.09348,1.74215,0.64682,1.28173,0,6.96461e-05,6.96461e-05,6.96461e-05
125,7449.89,0.58655,0.98996,0.33181,0.94667,0,0.85426,0.84434,0.84502,0.67811,0.83238,0.81306,0.80118,0.431,1.08972,1.71428,0.64388,1.2786,0,6.52758e-05,6.52758e-05,6.52758e-05
126,7508.22,0.59967,1.0218,0.32897,0.95089,0,0.85681,0.84077,0.84579,0.68001,0.83985,0.81309,0.80518,0.4355,1.08753,1.71799,0.63784,1.27873,0,6.10539e-05,6.10539e-05,6.10539e-05
127,7562.97,0.61144,1.018,0.34051,0.95951,0,0.85001,0.84866,0.84736,0.68077,0.83993,0.8208,0.81066,0.43815,1.08268,1.70527,0.62804,1.27539,0,5.69826e-05,5.69826e-05,5.69826e-05
128,7618.94,0.60059,0.97256,0.32767,0.94599,0,0.86029,0.83673,0.84457,0.67561,0.8432,0.80316,0.79863,0.42945,1.08508,1.70808,0.63724,1.27492,0,5.30634e-05,5.30634e-05,5.30634e-05
129,7675.04,0.53861,0.9276,0.3184,0.92785,0,0.85407,0.84585,0.84482,0.67905,0.84329,0.80958,0.80503,0.43411,1.08205,1.6936,0.6378,1.27565,0,4.92981e-05,4.92981e-05,4.92981e-05
130,7728.52,0.58958,0.99548,0.32973,0.95371,0,0.85611,0.8444,0.84285,0.68048,0.83076,0.81574,0.80449,0.43337,1.08659,1.70354,0.64179,1.27418,0,4.56885e-05,4.56885e-05,4.56885e-05
131,7783.43,0.58797,0.9789,0.32653,0.94803,0,0.84869,0.85097,0.84725,0.6814,0.82029,0.81626,0.80077,0.43134,1.08871,1.71395,0.64492,1.27708,0,4.2236e-05,4.2236e-05,4.2236e-05
132,7838.96,0.5727,0.95527,0.32197,0.94551,0,0.84479,0.8495,0.84677,0.6817,0.8291,0.80396,0.79737,0.42836,1.08652,1.72326,0.64471,1.27636,0,3.89422e-05,3.89422e-05,3.89422e-05
133,7893.42,0.58224,0.96988,0.31887,0.95315,0,0.85205,0.84994,0.84395,0.67921,0.8314,0.8037,0.7976,0.43119,1.08841,1.72719,0.64641,1.27359,0,3.58085e-05,3.58085e-05,3.58085e-05
134,7946.79,0.54085,0.94397,0.31392,0.93628,0,0.86294,0.84357,0.84664,0.67999,0.84173,0.80665,0.80365,0.43343,1.09338,1.73191,0.63875,1.28082,0,3.28363e-05,3.28363e-05,3.28363e-05
135,8002.27,0.59654,0.97908,0.3296,0.95031,0,0.87358,0.8341,0.84624,0.68173,0.84498,0.80508,0.80014,0.43589,1.08728,1.72765,0.64217,1.27637,0,3.0027e-05,3.0027e-05,3.0027e-05
136,8051.03,0.53954,0.90176,0.29387,0.92303,0,0.86057,0.83301,0.84401,0.68251,0.83292,0.81054,0.79594,0.4291,1.0888,1.74434,0.65355,1.28175,0,2.73816e-05,2.73816e-05,2.73816e-05
137,8096.78,0.53148,0.88284,0.2859,0.92615,0,0.85835,0.83716,0.84279,0.68118,0.83726,0.81008,0.79954,0.43184,1.09246,1.74722,0.64623,1.2848,0,2.49015e-05,2.49015e-05,2.49015e-05
138,8142.46,0.51114,0.82874,0.28229,0.91616,0,0.85824,0.84088,0.84479,0.68009,0.82994,0.80854,0.79763,0.43164,1.08995,1.75182,0.64147,1.28439,0,2.25876e-05,2.25876e-05,2.25876e-05
139,8188.06,0.5548,0.91329,0.29498,0.93151,0,0.86009,0.84214,0.84555,0.67994,0.83387,0.81094,0.7991,0.43087,1.08902,1.76348,0.64107,1.28251,0,2.04411e-05,2.04411e-05,2.04411e-05
140,8232.94,0.54845,0.86769,0.28837,0.93108,0,0.85422,0.84211,0.84403,0.68077,0.8235,0.81108,0.79829,0.43393,1.0914,1.76298,0.64804,1.28474,0,1.84628e-05,1.84628e-05,1.84628e-05
141,8277.19,0.53537,0.89297,0.28475,0.92217,0,0.86151,0.84162,0.84543,0.68063,0.83571,0.80181,0.79955,0.43557,1.09173,1.7689,0.64825,1.28396,0,1.66536e-05,1.66536e-05,1.66536e-05
142,8322.9,0.52974,0.86288,0.28355,0.92468,0,0.85713,0.84544,0.84206,0.67985,0.82535,0.81406,0.80025,0.43696,1.0925,1.77713,0.64858,1.28439,0,1.50142e-05,1.50142e-05,1.50142e-05
