epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1265.35,0.77742,1.25884,0.40066,1.06562,0.8092,0.7984,0.80835,0.66519,0.79238,0.77457,0.77748,0.44507,1.07262,1.71248,0.8029,1.32172,0.000191632,0.000191632,0.000191632
31,1307.28,0.7922,1.23833,0.40461,1.06985,0.81529,0.79957,0.81476,0.67338,0.79406,0.77935,0.78644,0.45063,1.05434,1.68525,0.78762,1.30225,0.000191054,0.000191054,0.000191054
32,1349.38,0.8107,1.29119,0.40563,1.07085,0.81897,0.78977,0.80907,0.6663,0.79765,0.76989,0.77888,0.44068,1.06875,1.68673,0.80077,1.32504,0.000190457,0.000190457,0.000190457
33,1390.97,0.75543,1.25053,0.39503,1.06029,0.80894,0.79114,0.80495,0.66349,0.82785,0.75115,0.78099,0.44419,1.07017,1.66239,0.79147,1.32244,0.000189842,0.000189842,0.000189842
34,1432.6,0.75298,1.20071,0.38983,1.04272,0.81355,0.7894,0.80854,0.66723,0.81055,0.75293,0.77607,0.43331,1.0637,1.70332,0.8097,1.32229,0.00018921,0.00018921,0.00018921
35,1473.93,0.71477,1.14665,0.38019,1.04964,0.81614,0.78769,0.80915,0.66734,0.81012,0.75769,0.77869,0.44376,1.0693,1.69169,0.79843,1.32426,0.000188559,0.000188559,0.000188559
36,1516.02,0.76958,1.23762,0.39617,1.0561,0.81786,0.79553,0.80687,0.66579,0.80266,0.78036,0.78539,0.44717,1.08486,1.69804,0.79091,1.33648,0.00018789,0.00018789,0.00018789
37,1557.89,0.74844,1.19162,0.38663,1.04446,0.80341,0.79176,0.80496,0.66332,0.81182,0.75107,0.77522,0.43592,1.07593,1.72238,0.81343,1.33289,0.000187204,0.000187204,0.000187204
38,1599.63,0.78023,1.23662,0.39448,1.06369,0.8127,0.78724,0.80402,0.66265,0.79984,0.76479,0.7753,0.43572,1.06818,1.71098,0.80607,1.3248,0.0001865,0.0001865,0.0001865
39,1641.36,0.70473,1.18403,0.37541,1.02466,0.80775,0.79455,0.80447,0.66423,0.81779,0.76171,0.78237,0.44132,1.06618,1.69343,0.80276,1.32754,0.000185779,0.000185779,0.000185779
40,1683.04,0.727,1.19148,0.38017,1.03569,0.82518,0.78886,0.80781,0.66181,0.81193,0.76436,0.78528,0.44001,1.07605,1.73859,0.80657,1.32651,0.00018504,0.00018504,0.00018504
41,1725.14,0.80347,1.26903,0.39253,1.06696,0.81549,0.79505,0.80939,0.6666,0.79453,0.77583,0.78383,0.44591,1.06761,1.70974,0.79594,1.3214,0.000184284,0.000184284,0.000184284
42,1766.9,0.72791,1.19052,0.37839,1.02437,0.8219,0.78718,0.8058,0.66625,0.80759,0.76966,0.78247,0.44397,1.06632,1.71533,0.80598,1.31803,0.000183511,0.000183511,0.000183511
43,1808.68,0.74971,1.1947,0.3902,1.03629,0.82232,0.78548,0.80538,0.66644,0.81343,0.76561,0.78461,0.44738,1.06794,1.71554,0.81956,1.32709,0.000182722,0.000182722,0.000182722
44,1850.82,0.70478,1.17463,0.37369,1.01945,0.82252,0.79071,0.80698,0.66881,0.81179,0.76345,0.77758,0.45006,1.06788,1.71716,0.81428,1.32901,0.000181915,0.000181915,0.000181915
45,1892.19,0.73225,1.17172,0.37391,1.04132,0.82893,0.77468,0.81158,0.67117,0.81364,0.76129,0.78921,0.45325,1.06761,1.72675,0.80275,1.31663,0.000181093,0.000181093,0.000181093
46,1933.86,0.73168,1.21326,0.38689,1.03548,0.81949,0.78633,0.80477,0.66289,0.80846,0.76592,0.77808,0.44867,1.08198,1.69534,0.79753,1.32937,0.000180254,0.000180254,0.000180254
47,1975.71,0.73278,1.1865,0.37656,1.04175,0.83079,0.77597,0.80825,0.66739,0.81017,0.7568,0.78074,0.4469,1.06786,1.73412,0.79375,1.319,0.000179398,0.000179398,0.000179398
48,2017.9,0.75202,1.21957,0.37803,1.03569,0.82823,0.77921,0.80673,0.66845,0.81552,0.76199,0.78318,0.44748,1.06496,1.73054,0.80457,1.31921,0.000178527,0.000178527,0.000178527
49,2059.95,0.73211,1.19753,0.37182,1.03622,0.8157,0.78589,0.80568,0.66501,0.79854,0.76377,0.78007,0.45035,1.08081,1.75323,0.80268,1.3388,0.00017764,0.00017764,0.00017764
50,2101.92,0.73494,1.18011,0.37223,1.03373,0.82955,0.77187,0.80474,0.66602,0.80987,0.75386,0.77476,0.44299,1.09111,1.75932,0.82235,1.34309,0.000176737,0.000176737,0.000176737
51,2144.06,0.72587,1.17378,0.36641,1.03167,0.8268,0.77959,0.80754,0.66659,0.81345,0.76044,0.7815,0.44469,1.08151,1.76081,0.80032,1.33872,0.000175819,0.000175819,0.000175819
52,2186.06,0.74157,1.17416,0.37491,1.03662,0.81711,0.7941,0.81187,0.66912,0.82125,0.75666,0.784,0.44609,1.0687,1.737,0.78523,1.33609,0.000174886,0.000174886,0.000174886
53,2228.19,0.71899,1.13082,0.37261,1.03374,0.81918,0.77824,0.80421,0.6634,0.82015,0.73902,0.77401,0.44368,1.09323,1.75581,0.82076,1.35244,0.000173937,0.000173937,0.000173937
54,2269.67,0.71328,1.14592,0.36727,1.01825,0.82693,0.77433,0.8046,0.66472,0.81498,0.76104,0.78219,0.44965,1.08735,1.79587,0.81167,1.34325,0.000172974,0.000172974,0.000172974
