epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1074,0.92573,1.68228,0.68145,1.2296,0.7961,0.77727,0.79511,0.63573,0.77581,0.74718,0.75947,0.40972,1.07735,1.94285,0.87399,1.37853,0.0668477,3.98305e-05,3.98305e-05
2,135.447,0.82488,1.35787,0.53972,1.15227,0.80638,0.78224,0.80495,0.65183,0.78606,0.76107,0.77279,0.42878,1.05977,1.82209,0.86479,1.36889,0.0335544,7.98206e-05,7.98206e-05
3,201.914,0.79805,1.28836,0.49597,1.13862,0.81196,0.77797,0.81136,0.65847,0.78784,0.75264,0.77971,0.44061,1.05251,1.80443,0.84346,1.36151,0.000261014,0.000119771,0.000119771
4,268.032,0.77829,1.23095,0.49413,1.11626,0.78941,0.79387,0.8104,0.65636,0.79987,0.73511,0.76765,0.44103,1.051,1.84107,0.82291,1.37109,0.000119865,0.000119865,0.000119865
5,334.001,0.81703,1.26001,0.47812,1.13377,0.81234,0.78727,0.81586,0.66522,0.78847,0.75885,0.77903,0.45233,1.01988,1.74028,0.79871,1.33284,0.000119761,0.000119761,0.000119761
6,400.33,0.76137,1.22725,0.45603,1.117,0.82248,0.78635,0.81872,0.66708,0.79807,0.75311,0.78012,0.45201,1.02129,1.78592,0.78401,1.33451,0.000119627,0.000119627,0.000119627
7,466.537,0.7576,1.19556,0.45237,1.10628,0.80863,0.7932,0.81483,0.66468,0.79228,0.75998,0.78044,0.43707,1.02358,1.78031,0.80212,1.33096,0.000119462,0.000119462,0.000119462
8,532.268,0.74635,1.18273,0.45987,1.10426,0.8023,0.79984,0.81155,0.66089,0.80609,0.76181,0.78266,0.44065,1.03588,1.7922,0.79381,1.34619,0.000119269,0.000119269,0.000119269
9,597.813,0.77021,1.20188,0.45095,1.11342,0.83207,0.78351,0.8147,0.66431,0.81001,0.76177,0.78511,0.44376,1.03281,1.82966,0.83295,1.34225,0.000119045,0.000119045,0.000119045
10,663.771,0.76038,1.19016,0.46002,1.10906,0.83096,0.78233,0.81907,0.66853,0.80713,0.75867,0.78636,0.44687,1.03259,1.75651,0.81771,1.34309,0.000118793,0.000118793,0.000118793
11,728.789,0.74178,1.19093,0.44112,1.10219,0.82637,0.78701,0.81581,0.66439,0.8055,0.77138,0.7865,0.44787,1.02934,1.79454,0.78966,1.34387,0.000118511,0.000118511,0.000118511
12,794.988,0.78314,1.18813,0.4529,1.10582,0.79974,0.80827,0.81398,0.66349,0.79522,0.76247,0.78006,0.44483,1.02715,1.81882,0.82357,1.34133,0.0001182,0.0001182,0.0001182
13,861.151,0.72684,1.09781,0.42875,1.08169,0.80532,0.80119,0.81873,0.66553,0.78347,0.77359,0.78339,0.45056,1.02307,1.80388,0.82264,1.33708,0.000117859,0.000117859,0.000117859
14,927.114,0.74379,1.16426,0.43935,1.09447,0.80108,0.80095,0.81945,0.66866,0.78329,0.77716,0.7868,0.45871,1.0229,1.8121,0.82146,1.33496,0.00011749,0.00011749,0.00011749
15,993.227,0.74406,1.17238,0.44898,1.09448,0.82926,0.78586,0.81849,0.66817,0.81561,0.75723,0.78836,0.45039,1.02836,1.84514,0.81686,1.34099,0.000117093,0.000117093,0.000117093
16,1058.83,0.72611,1.12228,0.42756,1.07261,0.81562,0.79612,0.82003,0.67043,0.79659,0.77055,0.7872,0.45689,1.01793,1.80011,0.80749,1.33405,0.000116667,0.000116667,0.000116667
17,1124.76,0.74666,1.14627,0.42804,1.08356,0.80787,0.79916,0.81729,0.66666,0.79059,0.77093,0.78355,0.45277,1.02677,1.83902,0.81007,1.34179,0.000116212,0.000116212,0.000116212
18,1190.85,0.74598,1.15733,0.43104,1.09867,0.82186,0.78359,0.81039,0.66279,0.79405,0.75485,0.77249,0.44804,1.02331,1.89729,0.83508,1.34255,0.00011573,0.00011573,0.00011573
19,1256.25,0.72321,1.11454,0.42783,1.08051,0.82911,0.77951,0.81311,0.66333,0.80375,0.75355,0.77705,0.4521,1.03074,1.84656,0.83722,1.35346,0.00011522,0.00011522,0.00011522
20,1321.96,0.69956,1.14201,0.41269,1.07128,0.81818,0.79335,0.81399,0.66271,0.79533,0.77045,0.78604,0.45661,1.03581,1.90119,0.83371,1.35618,0.000114682,0.000114682,0.000114682
21,1388.28,0.73849,1.11441,0.4284,1.08618,0.83484,0.77883,0.81411,0.66115,0.81109,0.75395,0.77506,0.4484,1.04078,1.8692,0.82575,1.35765,0.000114118,0.000114118,0.000114118
22,1454.39,0.73257,1.12275,0.41766,1.08383,0.83324,0.78192,0.81414,0.66389,0.81622,0.75935,0.78441,0.45362,1.03165,1.83221,0.84102,1.34258,0.000113526,0.000113526,0.000113526
23,1519.82,0.69822,1.10955,0.41394,1.06779,0.83536,0.7877,0.81601,0.66607,0.809,0.76259,0.78382,0.45613,1.02891,1.80589,0.82179,1.3522,0.000112907,0.000112907,0.000112907
24,1585.5,0.73575,1.13598,0.41824,1.0763,0.80674,0.80038,0.81499,0.6651,0.80004,0.77178,0.78812,0.45375,1.02723,1.8031,0.79682,1.35113,0.000112263,0.000112263,0.000112263
25,1651.47,0.72546,1.12718,0.41142,1.08639,0.80968,0.79673,0.81103,0.66352,0.79685,0.76509,0.78048,0.45079,1.0344,1.80116,0.84182,1.34982,0.000111592,0.000111592,0.000111592
26,1716.93,0.71065,1.07742,0.41265,1.05213,0.81418,0.79271,0.82002,0.66645,0.80537,0.76241,0.79218,0.45713,1.03093,1.88539,0.80611,1.34967,0.000110895,0.000110895,0.000110895
27,1782.41,0.70152,1.09286,0.42786,1.05329,0.82242,0.78538,0.81561,0.66806,0.81294,0.75466,0.78533,0.4544,1.01945,1.83097,0.81804,1.33647,0.000110174,0.000110174,0.000110174
28,1847.75,0.71976,1.09291,0.41867,1.07245,0.81892,0.77718,0.80897,0.65997,0.8033,0.7595,0.78189,0.44569,1.03197,1.82515,0.85342,1.35065,0.000109427,0.000109427,0.000109427
29,1913.06,0.69836,1.07546,0.40412,1.05301,0.83767,0.77614,0.81431,0.66683,0.81671,0.75805,0.78719,0.45648,1.02087,1.79404,0.84827,1.33252,0.000108656,0.000108656,0.000108656
30,1978.43,0.70047,1.08343,0.40258,1.06073,0.82158,0.79362,0.81345,0.66377,0.80994,0.76503,0.78155,0.45278,1.02437,1.89771,0.83136,1.34149,0.00010786,0.00010786,0.00010786
31,2044.03,0.70255,1.06967,0.40407,1.06145,0.82011,0.78204,0.8086,0.65963,0.8073,0.76014,0.78133,0.45282,1.04395,1.87819,0.88674,1.36469,0.000107041,0.000107041,0.000107041
32,2109.33,0.71185,1.07214,0.40553,1.06565,0.82444,0.78416,0.81004,0.66253,0.80432,0.76262,0.78123,0.44968,1.0331,1.85051,0.83851,1.34705,0.000106198,0.000106198,0.000106198
33,2174.76,0.7149,1.05879,0.40326,1.06275,0.822,0.78817,0.81113,0.66751,0.80144,0.76371,0.77883,0.45627,1.03088,1.84615,0.83721,1.33316,0.000105332,0.000105332,0.000105332
34,2240.49,0.6901,1.06515,0.3908,1.05382,0.83463,0.78311,0.81172,0.66606,0.81121,0.7614,0.78375,0.45212,1.03982,1.84828,0.86245,1.35582,0.000104444,0.000104444,0.000104444
35,2306.16,0.70394,1.0657,0.39708,1.05624,0.81378,0.7913,0.81363,0.661,0.79519,0.767,0.78173,0.45085,1.04888,1.90321,0.87291,1.37187,0.000103534,0.000103534,0.000103534
36,2371.88,0.70543,1.09218,0.39672,1.06823,0.81252,0.79013,0.81445,0.66445,0.79248,0.77366,0.7863,0.44858,1.03666,1.8262,0.84271,1.34772,0.000102602,0.000102602,0.000102602
37,2437.62,0.69086,1.0717,0.38762,1.0463,0.82121,0.79478,0.81746,0.66555,0.79507,0.77071,0.78236,0.45084,1.03289,1.8287,0.85684,1.34949,0.000101649,0.000101649,0.000101649
38,2503.04,0.68608,1.05888,0.39399,1.05849,0.82895,0.78023,0.81258,0.66486,0.79927,0.75984,0.77704,0.44688,1.03005,1.7962,0.85801,1.34419,0.000100675,0.000100675,0.000100675
39,2568.47,0.69588,1.07569,0.39086,1.05674,0.80663,0.79584,0.81388,0.6661,0.78769,0.77378,0.78251,0.45034,1.02986,1.7976,0.8314,1.34634,9.96816e-05,9.96816e-05,9.96816e-05
40,2633.69,0.6814,0.99587,0.38333,1.03667,0.83578,0.77652,0.81503,0.66677,0.81288,0.75524,0.78146,0.45454,1.02944,1.84429,0.85021,1.3468,9.8668e-05,9.8668e-05,9.8668e-05
41,2699.07,0.6816,1.06391,0.38773,1.04338,0.8171,0.78588,0.81255,0.66332,0.7976,0.76753,0.78388,0.44996,1.02238,1.81259,0.85405,1.33551,9.76353e-05,9.76353e-05,9.76353e-05
42,2764.66,0.69086,1.04693,0.3891,1.05107,0.82954,0.77036,0.8105,0.66337,0.79611,0.75688,0.78103,0.45186,1.02207,1.82897,0.86286,1.34322,9.65839e-05,9.65839e-05,9.65839e-05
43,2830.42,0.69328,1.04135,0.38974,1.05094,0.82165,0.77958,0.80525,0.65836,0.79919,0.76174,0.77749,0.45273,1.03884,1.84289,0.8812,1.35195,9.55144e-05,9.55144e-05,9.55144e-05
44,2895.75,0.6797,1.03357,0.39604,1.04951,0.80986,0.79861,0.81128,0.66455,0.7963,0.77524,0.78241,0.45552,1.02632,1.81218,0.85598,1.34012,9.44274e-05,9.44274e-05,9.44274e-05
45,2961.09,0.68134,1.03317,0.39511,1.04538,0.80701,0.78986,0.8083,0.66067,0.7969,0.76089,0.7769,0.44752,1.02562,1.78959,0.85642,1.34013,9.33233e-05,9.33233e-05,9.33233e-05
46,3026.63,0.69941,1.10556,0.4063,1.05797,0.81878,0.78498,0.81392,0.66637,0.79117,0.76874,0.78261,0.45986,1.02694,1.83067,0.84092,1.3408,9.22027e-05,9.22027e-05,9.22027e-05
47,3092.42,0.68475,1.03219,0.38112,1.0389,0.82005,0.77635,0.81215,0.66551,0.80229,0.75476,0.77969,0.44849,1.03161,1.90108,0.85746,1.34613,9.10662e-05,9.10662e-05,9.10662e-05
48,3157.77,0.6742,1.02844,0.37272,1.04108,0.83653,0.77781,0.81165,0.66636,0.8194,0.76214,0.78193,0.45532,1.02988,1.81466,0.84149,1.34344,8.99144e-05,8.99144e-05,8.99144e-05
49,3223.9,0.6949,1.05852,0.37846,1.0532,0.82104,0.78357,0.81026,0.66451,0.80397,0.76983,0.78471,0.45179,1.02262,1.84895,0.83981,1.34144,8.87478e-05,8.87478e-05,8.87478e-05
50,3289.23,0.67911,1.01684,0.38066,1.03231,0.81176,0.78108,0.80458,0.66116,0.80446,0.7563,0.77977,0.45422,1.0277,1.89806,0.8633,1.34749,8.7567e-05,8.7567e-05,8.7567e-05
